Episode,Reward
1,-247
2,-245
3,-249
4,-241
5,-245
6,-246
7,-247
8,-248
9,-245
10,-241
11,-248
12,-241
13,-243
14,-238
15,-249
16,-241
17,-240
18,-246
19,-242
20,-250
21,-256
22,-245
23,-242
24,-247
25,-247
26,-246
27,-249
28,-254
29,-249
30,-246
31,-247
32,-243
33,-244
34,-242
35,-249
36,-249
37,-248
38,-248
39,-253
40,-247
41,-249
42,-244
43,-241
44,-249
45,-246
46,-250
47,-238
48,-244
49,-253
50,-248
51,-246
52,-244
53,-241
54,-243
55,-246
56,-247
57,-247
58,-248
59,-243
60,-235
61,-248
62,-239
63,-245
64,-250
65,-243
66,-250
67,-246
68,-246
69,-248
70,-245
71,-250
72,-249
73,-243
74,-252
75,-244
76,-244
77,-249
78,-252
79,-247
80,-244
81,-251
82,-247
83,-243
84,-247
85,-247
86,-247
87,-244
88,-244
89,-239
90,-247
91,-251
92,-246
93,-247
94,-250
95,-253
96,-241
97,-240
98,-248
99,-242
100,-241
101,-238
102,-244
103,-248
104,-251
105,-245
106,-242
107,-245
108,-244
109,-241
110,-240
111,-248
112,-241
113,-245
114,-240
115,-248
116,-252
117,-243
118,-245
119,-250
120,-245
121,-245
122,-244
123,-241
124,-241
125,-245
126,-238
127,-246
128,-243
129,-238
130,-241
131,-248
132,-243
133,-240
134,-251
135,-245
136,-238
137,-243
138,-240
139,-245
140,-248
141,-242
142,-247
143,-243
144,-235
145,-240
146,-239
147,-239
148,-240
149,-245
150,-245
151,-246
152,-240
153,-251
154,-247
155,-238
156,-244
157,-254
158,-237
159,-248
160,-244
161,-246
162,-242
163,-250
164,-240
165,-242
166,-248
167,-242
168,-245
169,-242
170,-240
171,-238
172,-239
173,-246
174,-239
175,-250
176,-247
177,-247
178,-236
179,-247
180,-245
181,-243
182,-244
183,-241
184,-243
185,-245
186,-239
187,-248
188,-247
189,-242
190,-238
191,-242
192,-244
193,-251
194,-246
195,-245
196,-249
197,-240
198,-250
199,-241
200,-239
201,-245
202,-247
203,-240
204,-233
205,-245
206,-237
207,-244
208,-243
209,-253
210,-245
211,-253
212,-245
213,-236
214,-238
215,-235
216,-244
217,-250
218,-247
219,-247
220,-254
221,-241
222,-242
223,-244
224,-253
225,-243
226,-247
227,-240
228,-248
229,-247
230,-248
231,-240
232,-244
233,-243
234,-236
235,-245
236,-243
237,-240
238,-248
239,-250
240,-235
241,-243
242,-241
243,-239
244,-239
245,-242
246,-242
247,-235
248,-240
249,-237
250,-235
251,-239
252,-243
253,-240
254,-241
255,-243
256,-249
257,-243
258,-237
259,-250
260,-236
261,-249
262,-236
263,-240
264,-241
265,-243
266,-258
267,-245
268,-245
269,-241
270,-250
271,-238
272,-247
273,-243
274,-235
275,-241
276,-250
277,-240
278,-242
279,-246
280,-250
281,-249
282,-250
283,-249
284,-237
285,-236
286,-240
287,-238
288,-237
289,-245
290,-243
291,-241
292,-243
293,-243
294,-240
295,-239
296,-240
297,-240
298,-248
299,-246
300,-246
301,-240
302,-247
303,-246
304,-249
305,-240
306,-250
307,-247
308,-248
309,-234
310,-242
311,-250
312,-248
313,-241
314,-242
315,-241
316,-249
317,-255
318,-240
319,-245
320,-236
321,-242
322,-240
323,-244
324,-250
325,-242
326,-240
327,-250
328,-243
329,-239
330,-246
331,-240
332,-245
333,-248
334,-250
335,-247
336,-250
337,-250
338,-250
339,-245
340,-242
341,-240
342,-236
343,-243
344,-252
345,-243
346,-249
347,-253
348,-244
349,-245
350,-250
351,-248
352,-250
353,-239
354,-244
355,-254
356,-241
357,-249
358,-248
359,-243
360,-237
361,-250
362,-241
363,-248
364,-252
365,-243
366,-255
367,-239
368,-234
369,-243
370,-242
371,-250
372,-244
373,-248
374,-247
375,-245
376,-247
377,-249
378,-250
379,-243
380,-250
381,-243
382,-249
383,-240
384,-237
385,-250
386,-239
387,-255
388,-250
389,-238
390,-239
391,-245
392,-247
393,-249
394,-237
395,-250
396,-235
397,-250
398,-242
399,-249
400,-252
401,-241
402,-242
403,-237
404,-238
405,-250
406,-246
407,-252
408,-258
409,-248
410,-247
411,-246
412,-245
413,-244
414,-244
415,-241
416,-249
417,-238
418,-249
419,-250
420,-235
421,-241
422,-251
423,-249
424,-254
425,-242
426,-241
427,-253
428,-249
429,-246
430,-246
431,-249
432,-250
433,-240
434,-250
435,-250
436,-238
437,-233
438,-249
439,-250
440,-249
441,-243
442,-247
443,-238
444,-247
445,-239
446,-256
447,-249
448,-236
449,-251
450,-244
451,-247
452,-246
453,-250
454,-249
455,-248
456,-247
457,-253
458,-247
459,-250
460,-250
461,-250
462,-253
463,-246
464,-250
465,-241
466,-250
467,-250
468,-244
469,-238
470,-256
471,-245
472,-246
473,-252
474,-250
475,-249
476,-249
477,-249
478,-246
479,-247
480,-248
481,-244
482,-251
483,-250
484,-243
485,-249
486,-244
487,-245
488,-247
489,-249
490,-241
491,-246
492,-246
493,-242
494,-249
495,-249
496,-243
497,-248
498,-246
499,-248
500,-250
501,-243
502,-249
503,-244
504,-246
505,-247
506,-244
507,-250
508,-251
509,-242
510,-245
511,-242
512,-253
513,-238
514,-246
515,-249
516,-252
517,-247
518,-250
519,-249
520,-249
521,-250
522,-242
523,-247
524,-246
525,-237
526,-250
527,-250
528,-250
529,-243
530,-249
531,-250
532,-250
533,-242
534,-241
535,-241
536,-243
537,-252
538,-250
539,-250
540,-240
541,-240
542,-247
543,-248
544,-248
545,-249
546,-244
547,-242
548,-244
549,-241
550,-246
551,-245
552,-246
553,-244
554,-249
555,-238
556,-250
557,-240
558,-250
559,-245
560,-250
561,-250
562,-253
563,-247
564,-244
565,-247
566,-247
567,-243
568,-250
569,-245
570,-242
571,-237
572,-250
573,-251
574,-244
575,-250
576,-250
577,-249
578,-240
579,-245
580,-249
581,-246
582,-238
583,-240
584,-250
585,-250
586,-244
587,-250
588,-252
589,-248
590,-236
591,-246
592,-250
593,-258
594,-243
595,-244
596,-250
597,-246
598,-249
599,-242
600,-248
601,-249
602,-246
603,-249
604,-239
605,-247
606,-249
607,-239
608,-249
609,-248
610,-249
611,-247
612,-247
613,-247
614,-243
615,-240
616,-244
617,-241
618,-249
619,-250
620,-250
621,-253
622,-250
623,-243
624,-248
625,-247
626,-241
627,-250
628,-246
629,-248
630,-249
631,-247
632,-250
633,-250
634,-249
635,-250
636,-244
637,-250
638,-245
639,-238
640,-245
641,-248
642,-242
643,-254
644,-253
645,-248
646,-248
647,-243
648,-250
649,-247
650,-247
651,-249
652,-247
653,-250
654,-244
655,-254
656,-243
657,-248
658,-249
659,-244
660,-248
661,-250
662,-250
663,-248
664,-245
665,-248
666,-248
667,-249
668,-246
669,-243
670,-247
671,-241
672,-250
673,-248
674,-241
675,-242
676,-242
677,-252
678,-249
679,-247
680,-249
681,-250
682,-255
683,-244
684,-248
685,-245
686,-243
687,-248
688,-250
689,-239
690,-244
691,-244
692,-250
693,-250
694,-249
695,-248
696,-254
697,-250
698,-242
699,-245
700,-253
701,-241
702,-250
703,-250
704,-249
705,-244
706,-241
707,-249
708,-243
709,-248
710,-250
711,-256
712,-249
713,-240
714,-248
715,-240
716,-250
717,-250
718,-243
719,-250
720,-244
721,-249
722,-247
723,-249
724,-248
725,-248
726,-248
727,-247
728,-242
729,-250
730,-254
731,-249
732,-245
733,-248
734,-248
735,-246
736,-248
737,-247
738,-249
739,-244
740,-250
741,-248
742,-250
743,-246
744,-244
745,-250
746,-241
747,-249
748,-244
749,-249
750,-254
751,-250
752,-243
753,-249
754,-250
755,-245
756,-257
757,-250
758,-250
759,-250
760,-250
761,-249
762,-246
763,-249
764,-247
765,-248
766,-252
767,-253
768,-247
769,-242
770,-244
771,-246
772,-256
773,-248
774,-250
775,-249
776,-245
777,-248
778,-246
779,-249
780,-239
781,-247
782,-250
783,-250
784,-248
785,-249
786,-246
787,-247
788,-246
789,-249
790,-250
791,-243
792,-245
793,-242
794,-244
795,-250
796,-249
797,-246
798,-248
799,-247
800,-242
801,-250
802,-250
803,-250
804,-248
805,-249
806,-250
807,-246
808,-250
809,-245
810,-250
811,-249
812,-249
813,-254
814,-243
815,-249
816,-248
817,-249
818,-249
819,-250
820,-246
821,-248
822,-249
823,-246
824,-248
825,-249
826,-249
827,-247
828,-247
829,-248
830,-247
831,-249
832,-248
833,-247
834,-247
835,-250
836,-248
837,-247
838,-243
839,-248
840,-246
841,-247
842,-248
843,-249
844,-247
845,-245
846,-248
847,-245
848,-250
849,-241
850,-250
851,-244
852,-250
853,-250
854,-246
855,-247
856,-248
857,-250
858,-252
859,-252
860,-249
861,-245
862,-240
863,-248
864,-245
865,-248
866,-250
867,-249
868,-248
869,-244
870,-250
871,-248
872,-247
873,-238
874,-253
875,-247
876,-245
877,-249
878,-249
879,-243
880,-250
881,-250
882,-245
883,-250
884,-245
885,-250
886,-244
887,-250
888,-247
889,-250
890,-248
891,-246
892,-250
893,-250
894,-249
895,-246
896,-249
897,-250
898,-247
899,-250
900,-247
901,-246
902,-241
903,-247
904,-242
905,-249
906,-245
907,-250
908,-250
909,-250
910,-246
911,-250
912,-250
913,-240
914,-246
915,-255
916,-248
917,-248
918,-245
919,-250
920,-248
921,-247
922,-254
923,-246
924,-244
925,-249
926,-247
927,-250
928,-247
929,-250
930,-246
931,-243
932,-246
933,-247
934,-250
935,-247
936,-246
937,-244
938,-249
939,-243
940,-250
941,-249
942,-250
943,-250
944,-249
945,-247
946,-250
947,-250
948,-249
949,-239
950,-242
951,-242
952,-249
953,-249
954,-249
955,-244
956,-248
957,-250
958,-248
959,-245
960,-250
961,-250
962,-243
963,-247
964,-249
965,-252
966,-244
967,-246
968,-248
969,-247
970,-245
971,-253
972,-246
973,-248
974,-250
975,-242
976,-256
977,-249
978,-248
979,-249
980,-248
981,-247
982,-244
983,-248
984,-249
985,-246
986,-248
987,-250
988,-248
989,-248
990,-247
991,-247
992,-244
993,-244
994,-250
995,-250
996,-245
997,-250
998,-248
999,-251
1000,-248
1001,-249
1002,-248
1003,-246
1004,-250
1005,-249
1006,-249
1007,-248
1008,-245
1009,-245
1010,-248
1011,-250
1012,-246
1013,-250
1014,-250
1015,-248
1016,-248
1017,-250
1018,-249
1019,-249
1020,-246
1021,-248
1022,-253
1023,-250
1024,-250
1025,-245
1026,-250
1027,-249
1028,-248
1029,-250
1030,-250
1031,-247
1032,-250
1033,-247
1034,-247
1035,-250
1036,-244
1037,-250
1038,-247
1039,-250
1040,-237
1041,-248
1042,-251
1043,-248
1044,-250
1045,-244
1046,-249
1047,-248
1048,-246
1049,-246
1050,-250
1051,-250
1052,-250
1053,-248
1054,-250
1055,-249
1056,-248
1057,-250
1058,-249
1059,-249
1060,-252
1061,-250
1062,-250
1063,-246
1064,-244
1065,-247
1066,-249
1067,-249
1068,-250
1069,-244
1070,-253
1071,-247
1072,-249
1073,-258
1074,-250
1075,-250
1076,-247
1077,-244
1078,-244
1079,-245
1080,-244
1081,-247
1082,-245
1083,-248
1084,-247
1085,-248
1086,-245
1087,-250
1088,-245
1089,-248
1090,-247
1091,-250
1092,-249
1093,-245
1094,-250
1095,-250
1096,-246
1097,-253
1098,-247
1099,-243
1100,-250
1101,-246
1102,-248
1103,-250
1104,-249
1105,-244
1106,-249
1107,-250
1108,-250
1109,-250
1110,-243
1111,-244
1112,-254
1113,-248
1114,-254
1115,-250
1116,-247
1117,-248
1118,-250
1119,-255
1120,-249
1121,-250
1122,-250
1123,-252
1124,-249
1125,-245
1126,-249
1127,-250
1128,-249
1129,-247
1130,-249
1131,-243
1132,-248
1133,-248
1134,-249
1135,-247
1136,-247
1137,-247
1138,-249
1139,-249
1140,-248
1141,-247
1142,-242
1143,-244
1144,-249
1145,-242
1146,-247
1147,-248
1148,-245
1149,-249
1150,-248
1151,-250
1152,-247
1153,-245
1154,-248
1155,-249
1156,-247
1157,-243
1158,-250
1159,-244
1160,-256
1161,-248
1162,-247
1163,-246
1164,-250
1165,-247
1166,-250
1167,-250
1168,-246
1169,-249
1170,-250
1171,-247
1172,-246
1173,-251
1174,-248
1175,-249
1176,-250
1177,-250
1178,-246
1179,-249
1180,-250
1181,-247
1182,-250
1183,-244
1184,-248
1185,-250
1186,-249
1187,-250
1188,-246
1189,-250
1190,-250
1191,-245
1192,-252
1193,-250
1194,-243
1195,-249
1196,-250
1197,-245
1198,-249
1199,-249
1200,-245
1201,-249
1202,-248
1203,-247
1204,-249
1205,-250
1206,-247
1207,-247
1208,-249
1209,-246
1210,-250
1211,-247
1212,-250
1213,-250
1214,-245
1215,-247
1216,-247
1217,-242
1218,-250
1219,-241
1220,-244
1221,-249
1222,-249
1223,-249
1224,-249
1225,-250
1226,-236
1227,-249
1228,-250
1229,-243
1230,-247
1231,-247
1232,-258
1233,-250
1234,-249
1235,-246
1236,-249
1237,-247
1238,-240
1239,-251
1240,-250
1241,-250
1242,-248
1243,-250
1244,-249
1245,-247
1246,-250
1247,-247
1248,-250
1249,-251
1250,-251
1251,-257
1252,-248
1253,-248
1254,-244
1255,-249
1256,-248
1257,-251
1258,-244
1259,-250
1260,-250
1261,-248
1262,-248
1263,-247
1264,-250
1265,-248
1266,-244
1267,-250
1268,-247
1269,-251
1270,-250
1271,-248
1272,-246
1273,-250
1274,-258
1275,-250
1276,-244
1277,-245
1278,-244
1279,-250
1280,-248
1281,-244
1282,-249
1283,-248
1284,-250
1285,-243
1286,-245
1287,-246
1288,-246
1289,-251
1290,-244
1291,-248
1292,-250
1293,-249
1294,-249
1295,-245
1296,-246
1297,-249
1298,-246
1299,-249
1300,-247
1301,-250
1302,-246
1303,-250
1304,-254
1305,-249
1306,-248
1307,-247
1308,-245
1309,-247
1310,-248
1311,-250
1312,-247
1313,-250
1314,-250
1315,-247
1316,-246
1317,-251
1318,-250
1319,-244
1320,-250
1321,-248
1322,-248
1323,-248
1324,-247
1325,-245
1326,-247
1327,-250
1328,-254
1329,-249
1330,-250
1331,-245
1332,-248
1333,-243
1334,-245
1335,-248
1336,-247
1337,-250
1338,-250
1339,-246
1340,-249
1341,-250
1342,-247
1343,-250
1344,-250
1345,-246
1346,-250
1347,-250
1348,-247
1349,-243
1350,-245
1351,-248
1352,-250
1353,-245
1354,-244
1355,-248
1356,-241
1357,-250
1358,-245
1359,-252
1360,-244
1361,-250
1362,-248
1363,-249
1364,-247
1365,-250
1366,-246
1367,-247
1368,-249
1369,-249
1370,-247
1371,-246
1372,-248
1373,-246
1374,-250
1375,-247
1376,-249
1377,-250
1378,-250
1379,-250
1380,-246
1381,-248
1382,-249
1383,-249
1384,-248
1385,-245
1386,-248
1387,-248
1388,-246
1389,-250
1390,-249
1391,-249
1392,-247
1393,-249
1394,-250
1395,-250
1396,-247
1397,-250
1398,-250
1399,-250
1400,-246
1401,-249
1402,-243
1403,-246
1404,-250
1405,-249
1406,-253
1407,-244
1408,-245
1409,-247
1410,-243
1411,-252
1412,-250
1413,-248
1414,-249
1415,-250
1416,-246
1417,-249
1418,-246
1419,-245
1420,-246
1421,-246
1422,-250
1423,-248
1424,-248
1425,-250
1426,-253
1427,-248
1428,-250
1429,-248
1430,-244
1431,-243
1432,-249
1433,-249
1434,-246
1435,-255
1436,-248
1437,-249
1438,-248
1439,-248
1440,-245
1441,-246
1442,-245
1443,-247
1444,-246
1445,-251
1446,-246
1447,-242
1448,-248
1449,-249
1450,-250
1451,-249
1452,-247
1453,-246
1454,-248
1455,-250
1456,-248
1457,-248
1458,-250
1459,-255
1460,-250
1461,-250
1462,-245
1463,-250
1464,-246
1465,-255
1466,-253
1467,-249
1468,-247
1469,-248
1470,-245
1471,-244
1472,-254
1473,-250
1474,-250
1475,-250
1476,-250
1477,-248
1478,-250
1479,-250
1480,-247
1481,-249
1482,-247
1483,-247
1484,-245
1485,-248
1486,-249
1487,-250
1488,-257
1489,-249
1490,-249
1491,-249
1492,-250
1493,-244
1494,-251
1495,-249
1496,-248
1497,-247
1498,-248
1499,-248
1500,-250
1501,-249
1502,-247
1503,-252
1504,-248
1505,-247
1506,-249
1507,-248
1508,-248
1509,-246
1510,-245
1511,-250
1512,-247
1513,-246
1514,-250
1515,-248
1516,-242
1517,-246
1518,-257
1519,-244
1520,-249
1521,-249
1522,-248
1523,-250
1524,-244
1525,-248
1526,-253
1527,-246
1528,-248
1529,-250
1530,-248
1531,-250
1532,-249
1533,-248
1534,-248
1535,-246
1536,-246
1537,-249
1538,-248
1539,-245
1540,-245
1541,-247
1542,-249
