Episode,Reward
0,-8464
1,-8800
2,-7774
3,-8758
4,-7425
5,-7428
6,-8574
7,-1847
8,-7540
9,-8716
10,-7523
11,-98
12,-7603
13,-8275
14,-7784
15,89
16,-7702
17,-7355
18,-7542
19,-7429
20,-8779
21,-8800
22,-7597
23,-7606
24,-8238
25,-1649
26,-7300
27,-7582
28,-7310
29,-7785
30,-8700
31,-7457
32,-8404
33,-8583
34,-7363
35,-7534
36,-7624
37,-7513
38,-8130
39,-98
40,-8044
41,-7836
42,-1649
43,-7383
44,-7857
45,-7876
46,-7624
47,-7395
48,-7867
49,-7713
50,-7467
51,-7331
52,-7624
53,-7480
54,-7374
55,-7459
56,-7374
57,-241
58,-7435
59,-7981
60,-8763
61,-7708
62,-8485
63,-7460
64,-7414
65,34
66,-8065
67,-7813
68,45
69,-1154
70,-7352
71,-7418
72,-7519
73,-7582
74,-8800
75,-7384
76,-8275
77,-7753
78,100
79,-7365
80,-8329
81,-8779
82,-8758
83,-8170
84,-8002
85,-340
86,-7310
87,-8779
88,12
89,-7960
90,-8317
91,-7573
92,-7771
93,-8317
94,-8233
95,-8590
96,-8254
97,-7427
98,-7540
99,-7351
100,-8531
101,-8653
102,-7426
103,-8091
104,-7880
105,45
106,-8372
107,-7856
108,-7939
109,-8254
110,-8475
111,-7498
112,-7771
113,-8254
114,-87
115,-8498
116,-8562
117,-7658
118,-7939
119,-8584
120,-8024
121,-8254
122,-8149
123,-10
124,-8070
125,-7765
126,-8203
127,-8422
128,-76
129,-8485
130,-8800
131,-8191
132,-8276
133,-7953
134,-8055
135,-8548
136,-395
137,-7939
138,-197
139,-7792
140,-8076
141,-7981
142,-7386
143,-8140
144,-7383
145,-8067
146,-7834
147,-7939
148,-7973
149,-8212
150,-7813
151,-7996
152,-7708
153,-7750
154,-7794
155,-8078
156,-8006
157,-7855
158,-7540
159,100
160,-186
161,-8181
162,-7834
163,-8002
164,-7786
165,-7690
166,-7729
167,-7839
168,-7771
169,-7754
170,-8275
171,-7566
172,-8044
173,-8520
174,-7750
175,-8341
176,-7942
177,-8080
178,-7870
179,-7939
180,-7813
181,-8212
182,-8422
183,-8128
184,-483
185,-8128
186,-527
187,-8359
188,-8002
189,-7561
190,-7939
191,-8149
192,-7626
193,-8485
194,-7750
195,100
196,-7963
197,-7960
198,-8023
199,-7702
200,1
201,-8065
202,-65
203,-7363
204,-7855
205,-8322
206,-7813
207,-8149
208,-8783
209,-8002
210,-8633
211,-8611
212,-7582
213,-8184
214,-7668
215,-7876
216,-8036
217,-8128
218,-8002
219,-7519
220,-7932
221,-8422
222,-8338
223,-8079
224,-8485
