Episode,Reward
0,-5092
1,-4924
2,-2415
3,-4765
4,-1455
5,-5158
6,-2804
7,-3795
8,-4791
9,-4828
10,-5155
11,-186
12,-824
13,-4798
14,-1211
15,-2460
16,-4811
17,-4938
18,-472
19,-5017
20,-5208
21,-5248
22,-4955
23,-5220
24,-5031
25,-4959
26,-4723
27,-2237
28,-4587
29,-4779
30,-5082
31,-4853
32,-5113
33,-1161
34,-4913
35,-5227
36,-857
37,-5080
38,-2309
39,-5472
40,-494
41,-4954
42,-4828
43,-2401
44,-5154
45,-5059
46,-1777
47,-4807
48,-5248
49,-4891
50,-4832
51,-4871
52,-1289
53,-4912
54,-4788
55,-4948
56,-4914
57,-3459
58,-5164
59,-1759
60,-1316
61,-329
62,-5010
63,-4789
64,-4758
65,-263
66,-4933
67,-748
68,-5038
69,-4933
70,-5206
71,-4987
72,-4969
73,-4975
74,-5007
75,-384
76,-5038
77,-120
78,-4747
79,-4870
80,-4996
81,-4996
82,-3579
83,-4786
84,-4843
85,-4812
86,-5038
87,-4870
88,-5101
89,-5155
90,-4776
91,-4912
92,-5019
93,-4717
94,-4748
95,-2771
96,-4810
97,-4828
98,-4788
99,-4978
100,-406
101,-4786
102,-4738
103,-4975
104,-5143
105,-4954
106,-5179
107,-329
108,-4987
109,-263
110,-4609
111,-5284
112,-4891
113,-1022
114,-4694
115,-5038
116,-285
117,-197
118,-1363
119,-4860
120,-5154
121,-1535
122,-5061
123,-5009
124,-4791
125,-4683
126,1
127,-5122
128,-5059
129,-5290
130,-4927
131,-5252
132,-54
133,-5008
134,23
135,-296
136,-329
137,-4757
138,-5283
139,-4726
140,-5353
141,-4828
142,-4135
143,-4975
144,-5032
145,-4933
146,-4996
147,-5437
148,-5164
149,100
150,-4681
151,-5022
152,-142
153,-5017
154,-4650
155,-5143
156,-4870
157,-4881
158,-5122
159,-5080
160,-5038
161,-5011
162,-4975
163,-4744
164,-4875
165,-4148
166,-4830
167,-4639
168,-4996
169,-4906
170,-5290
171,-164
172,-4862
173,-4891
174,-4833
175,-5010
176,-5127
177,-5101
178,-4850
179,-153
180,-3609
181,-5164
182,-4885
183,-2813
184,-5416
185,-3860
186,-2368
187,-43
188,-4933
189,-4883
190,-5053
191,-4660
192,-4807
193,-692
194,-4893
195,-4843
196,-5155
197,-5332
198,-5500
199,-4725
200,-5061
201,-769
202,-5143
203,-5313
204,-4977
205,-5188
206,-5190
207,-4954
208,-4996
209,-5280
210,-4641
211,-43
212,12
213,-4759
214,-2763
215,-5479
216,-5248
217,-428
218,-5294
219,-5200
220,-1022
221,-5144
222,-4975
223,-4895
224,-5272
225,-219
226,-5104
227,-5020
228,-3369
229,-4968
230,-4863
231,-5227
232,-4809
233,-5227
234,-384
235,-4975
236,-824
237,-1033
238,-5227
239,-5200
240,-4807
241,-5017
242,-4933
243,-4821
244,-4912
245,-1620
246,-5145
247,-4786
248,-384
249,-1297
250,-4881
251,-4997
252,-5116
253,-4744
254,-5042
255,-4723
256,-384
257,-5395
258,-219
259,-4996
260,-4996
261,-4738
262,-4807
263,-5185
264,-3039
265,-4786
266,-4821
267,-4979
268,-4891
269,-5230
270,-5185
271,-5185
272,-5059
273,-384
274,-4797
275,-5122
276,-5039
277,-5135
278,-5031
279,-4870
280,-4864
281,-5206
282,-4776
283,-4902
284,-4996
285,-5080
286,-4828
287,-4725
288,-4927
289,-340
290,-5059
291,-4954
292,-340
293,-4660
294,-4767
295,-5052
296,-4821
297,-5038
298,-5042
299,-340
300,-5126
301,-406
302,-4933
303,-5271
304,12
305,-4975
306,-3530
307,-5040
308,-2395
309,-4979
310,-4864
311,-5060
312,-4822
313,-3075
314,-5080
315,56
316,-4849
317,-5091
318,-5011
319,-824
320,-5018
321,-4996
322,-472
323,-4801
324,-4912
325,-4977
326,-5017
327,-4969
328,-5061
329,-4894
330,-5122
331,-4954
332,-5050
333,-4683
334,-4936
335,-5168
336,-142
337,-120
338,-4905
339,-4597
340,-4891
341,-4948
342,-4996
343,-197
344,-5143
345,-4948
346,-4870
347,-351
348,-120
349,-4870
350,-5052
351,-4608
352,-4925
353,-4850
354,-4746
355,-615
356,-4997
357,-4915
358,-4800
359,-142
360,-4975
361,-4947
362,-4883
363,45
364,-4665
365,-5101
366,-309
367,89
368,-4892
369,-4870
370,-351
371,-4851
372,-5021
373,67
374,-5169
375,-4875
376,-10
377,-4913
378,-4821
379,-2457
380,-4936
381,-5038
382,-4748
383,-4744
384,-5156
385,-3669
386,-4891
387,-4965
388,-428
389,-560
390,-4912
391,-4786
392,-3522
393,-76
394,-4870
395,-1638
396,-5070
397,-4893
398,-4746
399,-4786
400,-4905
401,-4893
402,-4912
403,-406
404,-4618
405,-1708
406,-4912
407,-4996
408,-4871
409,-5164
410,-4789
411,89
412,-1517
413,-153
414,-4756
415,-197
416,-4828
417,-21
418,-5232
419,-4954
420,-4786
421,-5164
422,-4809
423,-5001
424,-4902
425,-4912
426,-4786
427,-5374
428,-4755
429,-4798
430,-4744
431,-4790
432,-5001
433,-5102
434,-4829
435,-4893
436,-4933
437,-4765
438,-4975
439,-2640
440,-3943
441,-4916
442,-4744
443,-4734
444,-5112
445,67
446,-4926
447,-4704
448,-4955
449,-4726
450,-439
451,-4650
452,-4863
453,-197
454,-5064
455,-5063
456,-4786
457,-4831
458,-4849
459,-4789
460,-4831
461,-10
462,12
463,56
464,-4765
465,-857
466,-4723
467,-582
468,-4881
469,-1033
470,-4925
471,-2840
472,-4978
473,-4650
474,-4828
475,-4860
476,-2276
477,89
478,-4989
479,-4934
480,-4874
481,-4849
482,-4777
483,-4976
484,-4735
485,-4979
486,-494
487,-4840
488,-5019
489,-4706
490,-5093
491,-4852
492,-197
493,-4828
494,-4903
495,-615
496,-4022
497,-4639
498,-5017
499,45
500,-4788
501,-5332
502,-4833
503,-4954
504,-4916
505,-4744
506,-5104
507,-4769
508,-4726
509,-2706
510,-5019
511,-901
512,-5011
513,-3423
514,-4681
515,-4996
516,-4713
517,-5041
518,-4831
519,-4807
520,-2753
521,-4807
522,-4860
523,-4975
524,-4747
525,-5178
526,-1346
527,-4885
528,-4757
529,-4860
530,-4968
531,-4800
532,-4788
533,-4650
534,-4954
535,-3769
536,-1231
537,-4831
538,-4458
539,-4744
540,-450
541,-4873
542,-4747
543,-4809
544,-4831
545,-4955
546,-4789
547,-21
548,-1960
549,-4831
550,-2232
551,-4891
552,-4801
553,-4849
554,-4692
555,-4912
556,-4671
557,-4725
558,-1330
559,-4768
560,-5143
561,-4912
562,-4786
563,-4138
564,-3435
565,-692
566,-4873
567,-4860
568,-4883
569,-4849
570,-4841
571,-4518
572,-4786
573,-4726
574,-2309
575,-5022
576,-4607
577,-4694
578,-4683
579,-5164
580,-3648
581,-879
582,-4749
583,-4344
584,-4958
585,-957
586,-2950
587,45
588,-4894
589,89
590,-4744
591,-241
592,-4766
593,12
594,-1044
595,-516
596,67
597,-3186
598,-4797
599,-4811
600,-4883
601,-4873
602,-824
603,-4736
604,-5080
605,-4789
606,-4725
607,-120
608,-4881
609,-4160
610,-4849
611,-4786
612,-4975
613,-2532
614,-4779
615,-4894
616,-4786
617,-890
618,-3510
619,-76
620,-4872
621,34
622,-54
623,-3030
624,-4708
625,-4744
626,67
627,-2477
628,-4723
629,-4915
630,-5017
631,-4870
632,-4933
633,-4713
634,67
635,-4832
